CODIGOENTIDAD;NOMBREENTIDAD;CODIGO CLASE
1;BANCO DE BOGOTA S. A.;1
2;BANCO POPULAR S.A.;1
6;ITAU CORPBANCA COLOMBIA S.A.;1
7;BANCOLOMBIA S.A.;1
9;CITIBANK - COLOMBIA S.A.;1
12;BANCO GNB SUDAMERIS S.A.;1
13;BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A. BBVA COLOMBIA;1
23;BANCO DE OCCIDENTE S.A.;1
30;BANCO CAJA SOCIAL S.A.;1
39;BANCO DAVIVIENDA S.A.;1
42;SCOTIABANK COLPATRIA S.A.;1
43;BANCO AGRARIO DE COLOMBIA S.A.;1
49;BANCO COMERCIAL AV VILLAS S.A.;1
51;BANCO PROCREDIT COLOMBIA S.A.;1
52;BANCO DE LAS MICROFINANZAS BANCAMIA S.A.;1
54;BANCO COOMEVA S.A.;1
55;BANCO FINANDINA S.A.;1
56;BANCO FALABELLA S.A.;1
57;BANCO PICHINCHA S.A.;1
58;BANCO COOPERATIVO COOPCENTRAL S.A.;1
60;BANCO MUNDO MUJER S.A.;1
61;BANCO MULTIBANK S.A.;1
62;MIBANCO S.A.;1
63;BANCO SERFINANZA S.A.;1
5;FINAMÉRICA S.A C.F.;4
8;GIROS & FINANZAS S.A C.F;4
23;SERFINANSA S.A C.F;4
26;TUYA S.A C.F;4
33;INTERNACIONAL S.A. C.F;4
35;MACROFINANCIERA S.A. C.F;4
46;COLTEFINANCIERA S.A C.F;4
119;RIPLEY COMPAÑÍA DE FINANCIAMIENTO S.A.;4
121;FINANCIERA JURISCOOP C.F.;4
1;COOPERATIVA FINANCIERA DE ANTIOQUIA;32
3;COOFINEP COOPERATIVA FINANCIERA;32
4;COTRAFA FINANCIERA;32
5;CONFIAR COOPERATIVA FINANCIERA;32
1;CREDIBANCO S.A. PUDIENDO SIN PERDER SU NATURALEZA UTILIZAR LA SIGLA CREDIBANCO;118
3;SOCIEDAD AL SERVICIO DE LA TECNOLOGÍA Y SISTEMATIZACIÓN BANCARIA TECNIBANCA S.A.;118
4;A TODA HORA S.A.;118
5;REDEBAN MULTICOLOR S.A.;118
6;VISIONAMOS;118
7;ASSENDA RED S.A.;118
8;VISA COLOMBIA SUPPORT SERVICES SOCIEDAD ANONIMA;118
9;MASTERCARD COLOMBIA ADMINISTRADORA S.A.;118
65;LULO BANK S.A.;1
2;JFK COOPERATIVA FINANCIERA;32
