CODIGOENTIDAD;CODIGOCLASE;COD_UCA
1;1;1
1;1;2
1;1;6
2;1;1
2;1;6
2;1;2
6;1;1
6;1;2
6;1;5
6;1;6
7;1;1
7;1;2
7;1;4
7;1;6
9;1;1
9;1;2
9;1;6
12;1;1
12;1;2
12;1;6
13;1;1
13;1;2
13;1;5
13;1;6
23;1;1
23;1;2
23;1;6
30;1;1
30;1;2
30;1;6
39;1;1
39;1;2
39;1;3
39;1;5
39;1;6
42;1;1
42;1;2
42;1;5
42;1;6
42;1;4
43;1;1
43;1;2
43;1;6
49;1;1
49;1;2
49;1;6
51;1;6
52;1;6
54;1;1
54;1;5
54;1;6
54;1;2
55;1;1
55;1;6
56;1;2
56;1;5
56;1;6
57;1;1
57;1;2
57;1;6
58;1;1
58;1;6
60;1;6
61;1;6
62;1;6
63;1;2
63;1;5
63;1;6
5;4;6
8;4;5
8;4;6
8;4;2
23;4;5
23;4;2
23;4;6
26;4;2
26;4;5
33;4;6
33;4;1
35;4;6
46;4;6
46;4;1
119;4;1
121;4;1
121;4;6
1;32;6
3;32;6
4;32;6
5;32;2
5;32;6
1;118;7
3;118;7
4;118;7
5;118;7
6;118;7
7;118;7
8;118;7
9;118;7
57;1;8
65;1;6
2;32;6
